client_id,target
000004cd-9485-46de-be1c-320c1d0556b0,0
000393a8-6e2f-4a8c-91bb-58ee3bf312b8,0
0003db87-118c-45e3-8615-37c7893c5191,0
00056a9a-1386-4569-bf09-0d8f54540bcd,0
000620a1-4482-42e9-a3c8-14207dccbea8,0
00078adb-38b7-48d9-81d1-e22ab63cc14a,0
000c0db5-ec43-4e5c-91d7-6736a2631a56,0
000ef7f6-e113-4abf-a299-bd18e1d4965f,1
00109c31-fb26-443f-8835-dafcebe05b3e,0
0010e06f-6756-47bb-af5d-2050298e98d7,0
00114a32-76d7-4e74-96f4-b127e98b0bd4,0
0014f74f-ffb8-42da-8ca9-4c196563630a,0
00159068-3ea9-4fc0-ad39-55d1b2e2c394,0
00186fd8-f2f4-45af-a203-5922949f5928,0
001c15a8-aa63-4eec-94ef-a94884ab6325,0
001fbeba-8f2f-448b-99a6-9383dd477032,0
0020f708-ff43-4e1b-8b4b-c27210fab37f,0
00234adc-9720-42b6-b3a4-035b906d8559,0
0023c927-9508-4cc6-bbcb-30c9dd77bdfa,0
0027fd4f-1490-44c6-ab85-ec5670bf4de5,1
0029b594-1b4f-48d0-9381-294b28f53933,0
002a3dde-2803-468f-8956-d45c22b8c8b3,0
002bdd10-5305-429c-9cb8-925c53ecb583,1
002ef2e0-e778-4f15-9890-b2349bb4c7c5,0
002f1974-256c-45ca-ba73-56a7d9814f69,0
0030566b-47c0-4042-8d8b-52cc69e72f38,0
0032adfa-4116-49a1-abb8-22ecdcd50956,0
0035d625-b0b0-4310-ba0a-62aca4d4a9d8,0
003ac7db-389f-403f-930f-595d0e69aca1,0
003d1f29-0beb-4327-9615-dce64231b31c,0
003f6dbe-1dda-47c0-a384-39eafcaa14d6,0
00476c36-5d1d-4583-9137-ea04d8af9822,0
00477141-1df3-4571-8fa7-0623bf95086c,0
00486757-819c-47e4-b1f2-8c030a629a07,0
004aee84-007d-4c8d-9463-8b0ff388d1e8,0
00531568-af39-4672-8a4f-4f6d0e40e9c8,0
00547380-f48d-4e27-b5fd-f7915de627a8,0
0059e37a-103b-47c7-bd87-89b7f47a076e,0
005aa501-591d-4458-a75a-25822215d13f,0
0061e216-77b5-43bd-a47a-5058d707bfda,0
006a0032-e5ed-4051-afeb-7d45ac35c81b,0
006d7804-9d3c-4ccd-8e45-b21b47fed8d5,0
006e0351-07c3-4225-922e-0fa80dd75391,0
006e29c4-4ba1-4eb2-be16-dcd55771a03b,0
006e4f05-6216-4f63-b602-ab047a15ced4,0
006e6524-f9c1-47f3-9b3e-1c5ec09de767,0
006f5b2f-e831-4095-b494-2e6f607d1549,0
00734555-a7d1-4aa0-9ce7-341d846c3bb0,0
00743c77-2292-4337-aae6-22df30a3a243,0
0078ddcd-99a5-48ba-bc2d-544c19881151,0
007cc945-adfb-4d94-9a79-034e26ce9507,0
007db355-5bcc-4a5d-9540-03d8c6f2ad8c,1
00814530-a368-47ee-96f7-4483b8dc18e0,0
0085fe2d-7d15-40bc-ac2d-6ccb1c3916b1,1
008b9e0c-3479-41c9-9210-482c4779e655,0
009167d2-8755-44fd-8cec-a0a9dfc3075e,0
0093d3a0-c752-4191-b24c-d913f6e29c8f,1
00940dc0-8d8d-4d79-b9f4-5f0d5771d938,0
00971665-b420-49e3-bcc0-912ccb5eaeb1,0
009b0392-0926-4bf3-9510-81d758a02c34,0
009f8f3a-59a1-4288-bb7f-b35184f6a011,1
00a43f7b-83c0-4a63-a15e-dcd0caa205ea,0
00a4772c-3426-4b8f-8021-5af2278a8eca,0
00b3479e-a277-450d-8887-12b110ebfc47,0
