row_id,user_id,product_id,target
1,1,196,1
2,1,10258,1
3,1,12427,0
4,1,13032,1
5,1,13176,0
6,1,25133,1
7,1,26088,1
8,1,26405,1
9,1,46149,1
10,1,49235,1
11,2,1559,0
12,2,2002,0
13,2,2573,0
14,2,7781,0
15,2,9681,0
16,2,12000,0
17,2,13351,0
18,2,16589,1
19,2,17758,0
20,2,17872,0
21,2,18523,0
22,2,19051,0
23,2,19156,0
24,2,20574,0
25,2,21376,0
26,2,21709,0
27,2,22124,0
28,2,22474,0
29,2,22963,1
30,2,24852,1
31,2,27344,0
32,2,27966,0
33,2,32052,0
34,2,32139,0
35,2,32792,1
36,2,33754,0
37,2,34688,0
38,2,36735,0
39,2,40198,0
40,2,41787,1
41,2,45066,1
42,2,45613,1
43,2,46886,0
44,2,47209,0
45,2,47766,0
46,2,48110,0
47,8,2078,0
48,8,9839,0
49,8,14992,0
50,8,17794,0
51,8,18531,0
52,8,21903,1
53,8,23165,1
54,8,28985,0
55,8,32030,0
56,8,34358,0
57,24,6184,0
58,24,7249,0
59,24,7987,0
60,24,23423,0
61,24,31222,1
62,24,33081,0
63,24,42447,0
64,24,44172,0
65,41,11512,0
66,41,25146,0
67,41,26384,0
68,41,28985,1
69,41,29180,1
70,41,34496,0
71,41,40198,0
72,41,41805,0
73,41,44310,0
74,41,45104,0
75,41,46886,0
76,48,4455,0
77,48,4855,1
78,48,5450,0
79,48,8057,0
80,48,11140,0
81,48,17284,0
82,48,17720,0
83,48,19508,0
84,48,20339,0
85,48,21405,0
86,48,24830,0
87,48,26209,0
88,48,27156,0
89,48,28842,0
90,48,33000,0
91,48,35855,0
92,48,36695,1
93,48,37065,0
94,48,41238,1
95,48,43662,0
96,48,43999,0
97,48,45007,1
98,48,46979,0
99,50,5612,0
100,50,5876,0
101,50,5922,0
102,50,6182,1
103,50,6341,0
104,50,7014,0
105,50,7054,0
106,50,8518,0
107,50,9666,0
108,50,9839,0
109,50,10831,0
110,50,11933,0
111,50,12409,0
112,50,13176,1
113,50,14955,0
114,50,16249,1
115,50,16759,0
116,50,19678,0
117,50,20367,0
118,50,21137,0
119,50,21174,0
120,50,21903,1
121,50,22825,0
122,50,22935,0
123,50,23165,0
124,50,24964,0
125,50,26800,0
126,50,27104,0
127,50,27888,0
128,50,27959,0
129,50,28476,0
130,50,30909,0
131,50,31528,0
132,50,31720,1
133,50,33303,0
134,50,34126,0
135,50,36070,0
136,50,36696,0
137,50,37552,0
138,50,39877,0
139,50,40709,0
140,50,41950,0
141,50,42701,0
142,50,43789,0
143,50,45007,0
144,50,46069,0
145,50,46667,0
146,50,47209,1
147,50,47601,0
148,50,48679,0
149,50,48775,0
150,64,4210,0
151,64,4920,0
152,64,5699,0
153,64,8022,1
154,64,13176,1
155,64,14947,1
156,64,18288,0
157,64,18811,1
158,64,18840,0
159,64,20583,0
160,64,21903,1
161,64,26128,0
162,64,28535,0
163,64,30391,1
164,64,31883,0
165,64,35004,1
166,64,35108,0
167,64,36550,1
168,64,36758,0
169,64,36772,0
170,64,36929,0
171,64,40334,0
172,64,40723,1
173,64,44008,0
174,64,44359,1
175,64,46969,1
176,64,47209,1
177,65,4605,0
178,65,4799,0
179,65,5161,1
180,65,5337,0
181,65,6656,1
182,65,9076,0
183,65,11136,0
184,65,13176,0
185,65,20734,0
186,65,21903,0
187,65,24838,0
188,65,27966,0
189,65,32201,0
190,65,33768,1
