row_id,user_id,product_id,target
1,1,196,1
2,1,10258,1
3,1,12427,0
4,1,13032,1
5,1,13176,0
6,1,25133,1
7,1,26088,1
8,1,26405,1
9,1,46149,1
10,1,49235,1
11,2,1559,0
12,2,2002,0
13,2,2573,0
14,2,7781,0
15,2,9681,0
16,2,13351,0
17,2,16589,1
18,2,17758,0
19,2,17872,0
20,2,18523,0
21,2,19051,0
22,2,19156,0
23,2,20574,0
24,2,21376,0
25,2,21709,0
26,2,22124,0
27,2,22474,0
28,2,22963,1
29,2,24852,1
30,2,27344,0
31,2,27966,0
32,2,32052,0
33,2,32139,0
34,2,32792,1
35,2,33754,0
36,2,34688,0
37,2,36735,0
38,2,40198,0
39,2,41787,1
40,2,45066,1
41,2,45613,1
42,2,46886,0
43,2,47209,0
44,2,47766,0
45,2,48110,0
46,8,2078,0
47,8,9839,0
48,8,14992,0
49,8,17794,0
50,8,18531,0
51,8,21903,1
52,8,23165,1
53,8,28985,0
54,8,32030,0
55,8,34358,0
56,24,6184,0
57,24,7249,0
58,24,23423,0
59,24,31222,1
60,24,33081,0
61,24,42447,0
62,24,44172,0
63,41,11512,0
64,41,25146,0
65,41,26384,0
66,41,28985,1
67,41,29180,1
68,41,34496,0
69,41,40198,0
70,41,41805,0
71,41,44310,0
72,41,45104,0
73,41,46886,0
74,48,4455,0
75,48,4855,1
76,48,5450,0
77,48,8057,0
78,48,11140,0
79,48,17284,0
80,48,17720,0
81,48,19508,0
82,48,20339,0
83,48,21405,0
84,48,24830,0
85,48,26209,0
86,48,28842,0
87,48,33000,0
88,48,36695,1
89,48,37065,0
90,48,41238,1
91,48,43662,0
92,48,43999,0
93,48,45007,1
94,48,46979,0
95,50,5612,0
96,50,5876,0
97,50,5922,0
98,50,6182,1
99,50,6341,0
100,50,7014,0
101,50,7054,0
102,50,8518,0
103,50,9666,0
104,50,9839,0
105,50,10831,0
106,50,11933,0
107,50,13176,1
108,50,14955,0
109,50,16249,1
110,50,16759,0
111,50,19678,0
112,50,20367,0
113,50,21137,0
114,50,21174,0
115,50,21903,1
116,50,22825,0
117,50,22935,0
118,50,23165,0
119,50,24964,0
120,50,26800,0
121,50,27104,0
122,50,27888,0
123,50,27959,0
124,50,28476,0
125,50,30909,0
126,50,31528,0
127,50,31720,1
128,50,33303,0
129,50,34126,0
130,50,36070,0
131,50,36696,0
132,50,37552,0
133,50,39877,0
134,50,40709,0
135,50,41950,0
136,50,42701,0
137,50,43789,0
138,50,45007,0
139,50,46069,0
140,50,46667,0
141,50,47209,1
142,50,47601,0
143,50,48679,0
144,50,48775,0
145,64,4210,0
146,64,4920,0
147,64,5699,0
148,64,8022,1
149,64,13176,1
150,64,14947,1
151,64,18288,0
152,64,18811,1
153,64,18840,0
154,64,20583,0
155,64,21903,1
156,64,26128,0
157,64,30391,1
158,64,31883,0
159,64,35004,1
160,64,35108,0
161,64,36550,1
162,64,36758,0
163,64,36772,0
164,64,36929,0
165,64,40334,0
166,64,40723,1
167,64,44008,0
168,64,44359,1
169,64,46969,1
170,64,47209,1
171,65,4605,0
172,65,4799,0
173,65,5161,1
174,65,5337,0
175,65,6656,1
176,65,9076,0
177,65,13176,0
178,65,20734,0
179,65,21903,0
180,65,24838,0
181,65,27966,0
182,65,32201,0
183,65,33768,1
184,65,38164,1
185,65,39275,0
186,65,40604,1
187,65,42891,0
188,65,43154,0
189,65,43961,0
190,65,44781,0
